            perf [006] 77429.575744006:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.575744006:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.575744006:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.575744006:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.575744006:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.575744006:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.575744006:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.575744049:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 0.34 (12/35) 
            perf [006] 77429.575748896:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.575748896:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.575748898:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.797795657:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 0.00 (1/109) 
            perf [006] 77429.797812723:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.797812723:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.797812723:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.797812723:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.797812723:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.797812723:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.797812723:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.797812723:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.797812723:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.797812723:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.797812723:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.797812782:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 0.34 (12/35) 
            perf [006] 77429.797815692:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.797815692:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.797815694:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
