            perf [006] 77429.798952405:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77429.799378028:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77429.799380280:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77429.799380280:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77429.799380280:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77429.799380280:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77429.799380280:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77429.799380280:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77429.799380280:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77429.799380280:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77429.799380280:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77429.799380280:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77429.799380280:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77429.799380284:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77429.799381576:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77429.799381576:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77429.799381577:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.023021560:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 0.00 (1/111) 
            perf [006] 77430.023040015:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.023040015:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.023040015:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.023040015:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.023040015:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.023040015:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77430.023040015:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77430.023040015:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77430.023040015:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77430.023040015:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77430.023040015:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77430.023040075:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 0.33 (12/36) 
            perf [006] 77430.023042930:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77430.023042930:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77430.023042932:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.023301715:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77430.023304607:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.023304607:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.023304607:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.023304607:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.023304607:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.023304607:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77430.023304607:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77430.023304607:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77430.023304607:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77430.023304607:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77430.023304607:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77430.023304610:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77430.023305861:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77430.023305861:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77430.023305863:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.023528115:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77430.023530350:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.023530350:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.023530350:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.023530350:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.023530350:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.023530350:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77430.023530350:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77430.023530350:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77430.023530350:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77430.023530350:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77430.023530350:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77430.023530353:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77430.023531562:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77430.023531562:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77430.023531563:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.023746907:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77430.023749127:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.023749127:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.023749127:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.023749127:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.023749127:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.023749127:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77430.023749127:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77430.023749127:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77430.023749127:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77430.023749127:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77430.023749127:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77430.023749131:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77430.023750476:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77430.023750476:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77430.023750477:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.023965562:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77430.023967597:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.023967597:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.023967597:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.023967597:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.023967597:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.023967597:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
            perf [006] 77430.023967597:   jcc                  ffffffff8134d948 new_slab+0x18 		jnz 0xffffffff8134d974
            perf [006] 77430.023967597:                        ffffffff8134d94a new_slab+0x1a 		cmpq  $0x0, 0x48(%r12)
            perf [006] 77430.023967597:   jcc                  ffffffff8134d950 new_slab+0x20 		jz 0xffffffff8134d95c
            perf [006] 77430.023967597:                        ffffffff8134d95c new_slab+0x2c 		mov %r12, %rdi
            perf [006] 77430.023967597:                        ffffffff8134d95f new_slab+0x2f 		and $0x3beee0, %esi
            perf [006] 77430.023967601:   tr end  call         ffffffff8134d965 new_slab+0x35 		callq  0xffffffff8134d4d0 	 IPC: 4.00 (12/3) 
            perf [006] 77430.023968804:                        ffffffff8134d96a new_slab+0x3a 		movq  -0x8(%rbp), %r12
            perf [006] 77430.023968804:                        ffffffff8134d96e new_slab+0x3e 		leaveq  
            perf [006] 77430.023968806:   tr end  return       ffffffff8134d96f new_slab+0x3f 		retq   	 IPC: 3.00 (3/1) 
            perf [006] 77430.024426771:   tr end  call         ffffffff8134d930 new_slab+0x0 		callq  0xffffffffc0970000 	 IPC: 1.00 (1/1) 
            perf [006] 77430.024429229:                        ffffffff8134d935 new_slab+0x5 		pushq  %rbp
            perf [006] 77430.024429229:                        ffffffff8134d936 new_slab+0x6 		mov %rsp, %rbp
            perf [006] 77430.024429229:                        ffffffff8134d939 new_slab+0x9 		pushq  %r12
            perf [006] 77430.024429229:                        ffffffff8134d93b new_slab+0xb 		mov %rdi, %r12
            perf [006] 77430.024429229:                        ffffffff8134d93e new_slab+0xe 		sub $0x8, %rsp
            perf [006] 77430.024429229:                        ffffffff8134d942 new_slab+0x12 		test $0xfe000006, %esi
